id,neo_reference_id,name,absolute_magnitude_h,estimated_diameter_min_km,estimated_diameter_max_km,is_potentially_hazardous_asteroid,close_approach_date,relative_velocity_kmph,astronomical,miss_distance_km,miss_distance_lunar,orbiting_body
54425754,54425754,(2024 CT1),22.35,0.0900647767,0.2013909631,False,2024-01-14,43571.8742749121,0.1775788217,26565413.48342978,69.0781616413,Earth
2168318,2168318,168318 (1989 DA),18.91,0.439091446,0.9818383215,True,2024-01-08,31986.5321530766,0.1176981136,17607387.097578034,45.7845661904,Earth
3102728,3102728,(2002 AY1),20.85,0.1797028549,0.4018277992,True,2024-01-08,62421.0107180472,0.0387907687,5803016.373182669,15.0896090243,Earth
3599868,3599868,(2012 DN31),24.0,0.0421264611,0.0941976306,False,2024-01-08,72972.4202450971,0.438299464,65568666.23654168,170.498491496,Earth
3781448,3781448,(2017 RJ15),21.85,0.1133848361,0.2535362011,False,2024-01-08,42691.0515194642,0.2902198078,43416265.07868939,112.8955052342,Earth
3798020,3798020,(2018 BW5),22.07,0.1024601475,0.2291078547,False,2024-01-08,1909.5781683299,0.3704446777,55417734.736756496,144.1029796253,Earth
3825490,3825490,(2018 MH7),26.1,0.0160160338,0.0358129403,False,2024-01-08,29893.7028024022,0.2503022555,37444684.27899578,97.3675773895,Earth
3836410,3836410,(2018 WA2),22.59,0.0806408277,0.1803183724,False,2024-01-08,34394.9468892197,0.0830903048,12430132.615730776,32.3221285672,Earth
3873324,3873324,(2019 TY),22.83,0.0722029558,0.1614507173,False,2024-01-08,64034.6295863063,0.290437181,43448783.64640447,112.980063409,Earth
54232321,54232321,(2022 AB),23.6,0.0506471459,0.1132504611,False,2024-01-08,72258.137061584,0.4932098075,73783136.66511002,191.8586151175,Earth
